Date,WTI
10/14/2016,50.35
10/17/2016,49.97
10/18/2016,50.3
10/19/2016,51.59
10/20/2016,50.31
10/21/2016,50.61
10/24/2016,50.18
10/25/2016,49.45
10/26/2016,48.75
10/27/2016,49.71
10/28/2016,48.72
10/31/2016,46.83
11/1/2016,46.66
11/2/2016,45.32
11/3/2016,44.66
11/4/2016,44.07
11/7/2016,44.88
11/8/2016,44.96
11/9/2016,45.2
11/10/2016,44.62
11/11/2016,43.39
11/14/2016,43.29
11/15/2016,45.86
11/16/2016,45.56
11/17/2016,45.37
11/18/2016,45.69
11/21/2016,47.48
11/22/2016,48.07
11/23/2016,46.72
11/24/2016,
11/25/2016,46.72
11/28/2016,45.66
11/29/2016,45.29
11/30/2016,49.41
12/1/2016,51.08
12/2/2016,51.7
12/5/2016,51.72
12/6/2016,50.95
12/7/2016,49.85
12/8/2016,50.84
12/9/2016,51.51
12/12/2016,52.74
12/13/2016,52.99
12/14/2016,51.01
12/15/2016,50.9
12/16/2016,51.93
12/19/2016,52.13
12/20/2016,52.22
12/21/2016,51.44
12/22/2016,51.98
12/23/2016,52.01
12/27/2016,52.82
12/28/2016,54.01
12/29/2016,53.8
12/30/2016,53.75
1/3/2017,52.36
1/4/2017,53.26
1/5/2017,53.77
1/6/2017,53.98
1/9/2017,51.95
1/10/2017,50.82
1/11/2017,52.19
1/12/2017,53.01
1/13/2017,52.36
1/16/2017,
1/17/2017,52.45
1/18/2017,51.12
1/19/2017,51.39
1/20/2017,52.33
1/23/2017,52.77
1/24/2017,52.38
1/25/2017,52.14
1/26/2017,53.24
1/27/2017,53.18
1/30/2017,52.63
1/31/2017,52.75
2/1/2017,53.9
2/2/2017,53.55
2/3/2017,53.81
2/6/2017,53.01
2/7/2017,52.19
2/8/2017,52.37
2/9/2017,52.99
2/10/2017,53.84
2/13/2017,52.96
2/14/2017,53.21
2/15/2017,53.11
2/16/2017,53.41
2/17/2017,53.41
2/20/2017,
2/21/2017,54.02
2/22/2017,53.61
2/23/2017,54.48
2/24/2017,53.99
2/27/2017,54.04
2/28/2017,54
3/1/2017,53.82
3/2/2017,52.63
3/3/2017,53.33
3/6/2017,53.19
3/7/2017,52.68
3/8/2017,49.83
3/9/2017,48.75
3/10/2017,48.05
3/13/2017,47.95
3/14/2017,47.24
3/15/2017,48.34
3/16/2017,48.3
3/17/2017,48.34
3/20/2017,47.79
3/21/2017,47.02
3/22/2017,47.29
3/23/2017,47
3/24/2017,47.3
3/27/2017,47.02
3/28/2017,48.36
3/29/2017,49.47
3/30/2017,50.3
3/31/2017,50.54
4/3/2017,50.25
4/4/2017,50.99
4/5/2017,51.14
4/6/2017,51.69
4/7/2017,52.25
4/10/2017,53.06
4/11/2017,53.38
4/12/2017,53.12
4/13/2017,53.19
4/17/2017,52.62
4/18/2017,52.46
4/19/2017,50.49
4/20/2017,50.26
4/21/2017,49.64
4/24/2017,48.9
4/25/2017,49.22
4/26/2017,49.22
4/27/2017,48.96
4/28/2017,49.31
5/1/2017,48.83
5/2/2017,47.65
5/3/2017,47.79
5/4/2017,45.55
5/5/2017,46.23
5/8/2017,46.46
5/9/2017,45.84
5/10/2017,47.28
5/11/2017,47.81
5/12/2017,47.83
5/15/2017,48.86
5/16/2017,48.64
5/17/2017,49.04
5/18/2017,49.36
5/19/2017,50.32
5/22/2017,50.81
5/23/2017,51.12
5/24/2017,50.99
5/25/2017,48.57
5/26/2017,49.58
5/29/2017,
5/30/2017,49.63
5/31/2017,48.29
6/1/2017,48.32
6/2/2017,47.68
6/5/2017,47.4
6/6/2017,48.13
6/7/2017,45.8
6/8/2017,45.68
6/9/2017,45.82
6/12/2017,46.1
6/13/2017,46.41
6/14/2017,44.79
6/15/2017,44.47
6/16/2017,44.73
6/19/2017,44.24
6/20/2017,43.34
6/21/2017,42.48
6/22/2017,42.53
6/23/2017,42.86
6/26/2017,43.24
6/27/2017,44.25
6/28/2017,44.74
6/29/2017,44.88
6/30/2017,46.02
7/3/2017,
7/4/2017,
7/5/2017,45.11
7/6/2017,45.52
7/7/2017,44.25
7/10/2017,44.4
7/11/2017,45.06
7/12/2017,45.48
7/13/2017,46.06
7/14/2017,46.53
7/17/2017,46.02
7/18/2017,46.4
7/19/2017,47.1
7/20/2017,46.73
7/21/2017,45.78
7/24/2017,46.21
7/25/2017,47.77
7/26/2017,48.58
7/27/2017,49.05
7/28/2017,49.72
7/31/2017,50.21
8/1/2017,49.19
8/2/2017,49.6
8/3/2017,49.03
8/4/2017,49.57
8/7/2017,49.37
8/8/2017,49.07
8/9/2017,49.59
8/10/2017,48.54
8/11/2017,48.81
8/14/2017,47.59
8/15/2017,47.57
8/16/2017,46.8
8/17/2017,47.07
8/18/2017,48.59
8/21/2017,47.39
8/22/2017,47.65
8/23/2017,48.45
8/24/2017,47.24
8/25/2017,47.65
8/28/2017,46.4
8/29/2017,46.46
8/30/2017,45.96
8/31/2017,47.26
9/1/2017,47.32
9/4/2017,
9/5/2017,48.63
9/6/2017,49.13
9/7/2017,49.1
9/8/2017,47.44
9/11/2017,48.06
9/12/2017,48.21
9/13/2017,49.3
9/14/2017,49.86
9/15/2017,49.9
9/18/2017,49.88
9/19/2017,49.54
9/20/2017,50.29
9/21/2017,50.58
9/22/2017,50.33
9/25/2017,51.85
9/26/2017,51.59
9/27/2017,52.14
9/28/2017,51.62
9/29/2017,51.67
10/2/2017,50.59
10/3/2017,50.44
10/4/2017,50
10/5/2017,50.79
10/6/2017,49.34
10/9/2017,49.58
10/10/2017,50.93
10/11/2017,51.3
10/12/2017,50.61
10/13/2017,51.43
10/16/2017,51.86
10/17/2017,51.87
10/18/2017,52.05
10/19/2017,51.29
10/20/2017,51.63
10/23/2017,51.91
10/24/2017,52.32
10/25/2017,51.97
10/26/2017,52.41
10/27/2017,53.92
10/30/2017,54.11
10/31/2017,54.36
11/1/2017,54.32
11/2/2017,54.55
11/3/2017,55.63
11/6/2017,57.34
11/7/2017,57.19
11/8/2017,56.82
11/9/2017,57.16
11/10/2017,56.75
11/13/2017,56.77
11/14/2017,55.67
11/15/2017,55.28
11/16/2017,55.14
11/17/2017,56.21
11/20/2017,56.21
11/21/2017,56.84
11/22/2017,57.88
11/23/2017,
11/24/2017,58.94
11/27/2017,58.1
11/28/2017,57.96
11/29/2017,57.25
11/30/2017,57.4
12/1/2017,58.35
12/4/2017,57.48
12/5/2017,57.66
12/6/2017,55.79
12/7/2017,56.5
12/8/2017,57.15
12/11/2017,57.84
12/12/2017,57.12
12/13/2017,56.59
12/14/2017,57
12/15/2017,57.29
12/18/2017,57.17
12/19/2017,57.49
12/20/2017,58.09
12/21/2017,58.34
12/22/2017,58.25
12/26/2017,59.55
12/27/2017,59.67
12/28/2017,59.84
12/29/2017,60.46
1/2/2018,60.37
1/3/2018,61.61
1/4/2018,61.98
1/5/2018,61.49
1/8/2018,61.73
1/9/2018,62.92
1/10/2018,63.6
1/11/2018,63.81
1/12/2018,64.22
1/15/2018,
1/16/2018,63.82
1/17/2018,63.92
1/18/2018,63.96
1/19/2018,63.38
1/22/2018,63.66
1/23/2018,64.45
1/24/2018,65.69
1/25/2018,65.62
1/26/2018,66.27
1/29/2018,65.71
1/30/2018,64.64
1/31/2018,64.82
2/1/2018,65.92
2/2/2018,65.5
2/5/2018,64.18
2/6/2018,63.48
2/7/2018,61.91
2/8/2018,61.3
2/9/2018,59.2
2/12/2018,59.41
2/13/2018,59.33
2/14/2018,60.7
2/15/2018,61.48
2/16/2018,61.89
2/19/2018,
2/20/2018,61.91
2/21/2018,61.73
2/22/2018,62.72
2/23/2018,63.52
2/26/2018,63.81
2/27/2018,62.94
2/28/2018,61.43
3/1/2018,60.98
3/2/2018,61.19
3/5/2018,62.49
3/6/2018,62.54
3/7/2018,61.09
3/8/2018,60.13
3/9/2018,62.02
3/12/2018,61.35
3/13/2018,60.69
3/14/2018,60.89
3/15/2018,61.16
3/16/2018,62.29
3/19/2018,62.01
3/20/2018,63.37
3/21/2018,65.1
3/22/2018,64.25
3/23/2018,65.8
3/26/2018,65.49
3/27/2018,65.21
3/28/2018,64.3
3/29/2018,64.87
4/2/2018,63.05
4/3/2018,63.41
4/4/2018,63.35
4/5/2018,63.53
4/6/2018,62.03
4/9/2018,63.4
4/10/2018,65.48
4/11/2018,66.81
4/12/2018,67.07
4/13/2018,67.35
4/16/2018,66.23
4/17/2018,66.5
4/18/2018,68.44
4/19/2018,68.3
4/20/2018,68.26
4/23/2018,67.61
4/24/2018,67.66
4/25/2018,68
4/26/2018,68.18
4/27/2018,68.11
4/30/2018,68.56
5/1/2018,67.28
5/2/2018,67.91
5/3/2018,68.45
5/4/2018,69.71
5/7/2018,70.74
5/8/2018,68.83
5/9/2018,71.16
5/10/2018,71.36
5/11/2018,70.69
5/14/2018,71.01
5/15/2018,71.34
5/16/2018,71.43
5/17/2018,71.47
5/18/2018,71.23
5/21/2018,72.26
5/22/2018,72.09
5/23/2018,71.85
5/24/2018,70.77
5/25/2018,67.92
5/29/2018,66.8
5/30/2018,68.24
5/31/2018,66.98
6/1/2018,65.81
6/4/2018,64.76
6/5/2018,65.51
6/6/2018,64.75
6/7/2018,65.96
6/8/2018,65.77
6/11/2018,66.1
6/12/2018,66.38
6/13/2018,66.63
6/14/2018,66.91
6/15/2018,65.01
6/18/2018,65.91
6/19/2018,65.09
6/20/2018,65.92
6/21/2018,65.68
6/22/2018,69.02
6/25/2018,69.91
6/26/2018,75.23
6/27/2018,77.41
6/28/2018,73.45
6/29/2018,74.13
7/2/2018,73.89
7/3/2018,74.19
7/4/2018,
7/5/2018,73.05
7/6/2018,73.78
7/9/2018,73.93
7/10/2018,74.11
7/11/2018,70.47
7/12/2018,70.28
7/13/2018,71.03
7/16/2018,68.22
7/17/2018,68.03
7/18/2018,68.78
7/19/2018,69.42
7/20/2018,70.31
7/23/2018,67.9
7/24/2018,70.77
7/25/2018,71.13
7/26/2018,71.59
7/27/2018,68.66
7/30/2018,71.19
7/31/2018,69.88
8/1/2018,68.8
8/2/2018,68.95
8/3/2018,68.49
8/6/2018,69.01
8/7/2018,69.17
8/8/2018,66.92
8/9/2018,66.81
8/10/2018,67.61
8/13/2018,67.25
8/14/2018,67.04
8/15/2018,65.07
8/16/2018,65.44
8/17/2018,65.93
8/20/2018,66.5
8/21/2018,67.32
8/22/2018,67.85
8/23/2018,69.13
8/24/2018,69.71
8/27/2018,69.97
8/28/2018,68.54
8/29/2018,69.68
8/30/2018,70.25
8/31/2018,69.84
9/3/2018,
9/4/2018,69.82
9/5/2018,68.69
9/6/2018,67.81
9/7/2018,67.73
9/10/2018,67.55
9/11/2018,69.29
9/12/2018,70.37
9/13/2018,68.6
9/14/2018,68.98
9/17/2018,68.86
9/18/2018,69.87
9/19/2018,71.08
9/20/2018,70.77
9/21/2018,70.8
9/24/2018,73.23
9/25/2018,73.4
9/26/2018,72.22
9/27/2018,72.18
9/28/2018,73.16
10/1/2018,75.37
10/2/2018,75.16
10/3/2018,76.4
10/4/2018,74.44
10/5/2018,74.26
10/8/2018,74.27
10/9/2018,74.95
10/10/2018,73.18
10/11/2018,70.97
10/12/2018,71.41
10/15/2018,71.84
10/16/2018,71.93
10/17/2018,69.63
10/18/2018,68.63
10/19/2018,69.16
10/22/2018,69.25
10/23/2018,66.49
10/24/2018,66.56
10/25/2018,67.25
10/26/2018,67.58
10/29/2018,67
10/30/2018,66.18
10/31/2018,65.31
11/1/2018,63.67
11/2/2018,63.12
11/5/2018,63.12
11/6/2018,62.16
11/7/2018,61.69
11/8/2018,60.71
11/9/2018,60.19
11/12/2018,59.85
11/13/2018,55.63
11/14/2018,56.16
11/15/2018,56.45
11/16/2018,56.49
11/19/2018,57.16
11/20/2018,53.39
11/21/2018,54.41
11/22/2018,
11/23/2018,
11/26/2018,51.46
11/27/2018,51.31
11/28/2018,50.06
11/29/2018,51.46
11/30/2018,50.78
12/3/2018,52.98
12/4/2018,53.21
12/5/2018,52.64
12/6/2018,51.54
12/7/2018,52.76
12/10/2018,51.07
12/11/2018,51.65
12/12/2018,51.04
12/13/2018,52.69
12/14/2018,51.26
12/17/2018,49.8
12/18/2018,46.12
12/19/2018,47.96
12/20/2018,45.64
12/21/2018,45.38
12/26/2018,46.04
12/27/2018,44.48
12/28/2018,45.15
1/2/2019,46.31
1/3/2019,46.92
1/4/2019,47.76
1/7/2019,48.27
1/8/2019,49.58
1/9/2019,52.19
1/10/2019,52.42
1/11/2019,51.44
1/14/2019,50.31
1/15/2019,51.8
1/16/2019,52.08
1/17/2019,51.83
1/18/2019,53.6
1/21/2019,
1/22/2019,52.59
1/23/2019,52.44
1/24/2019,52.94
1/25/2019,53.53
1/28/2019,51.79
1/29/2019,53.07
1/30/2019,54.18
1/31/2019,53.84
2/1/2019,55.29
2/4/2019,54.57
2/5/2019,53.69
2/6/2019,53.94
2/7/2019,52.68
2/8/2019,52.75
2/11/2019,52.43
2/12/2019,53.14
2/13/2019,53.84
2/14/2019,54.4
2/15/2019,55.58
2/18/2019,
2/19/2019,56.12
2/20/2019,56.9
2/21/2019,56.95
2/22/2019,57.01
2/25/2019,55.32
2/26/2019,55.4
2/27/2019,56.92
2/28/2019,57.21
3/1/2019,55.76
3/4/2019,56.6
3/5/2019,56.55
3/6/2019,56.22
3/7/2019,56.6
3/8/2019,55.77
3/11/2019,56.79
3/12/2019,56.89
3/13/2019,58.27
3/14/2019,58.59
3/15/2019,58.51
3/18/2019,59.09
3/19/2019,59.12
3/20/2019,60.12
3/21/2019,59.98
3/22/2019,58.87
3/25/2019,58.71
3/26/2019,59.87
3/27/2019,59.39
3/28/2019,59.29
3/29/2019,60.19
4/1/2019,61.59
4/2/2019,62.53
4/3/2019,62.46
4/4/2019,62.12
4/5/2019,63.1
4/8/2019,64.37
4/9/2019,64.05
4/10/2019,64.62
4/11/2019,63.61
4/12/2019,63.86
4/15/2019,63.43
4/16/2019,64.01
4/17/2019,63.74
4/18/2019,64.02
4/22/2019,65.66
4/23/2019,66.24
4/24/2019,65.96
4/25/2019,65.23
4/26/2019,63.29
4/29/2019,63.39
4/30/2019,63.83
5/1/2019,63.55
5/2/2019,61.75
5/3/2019,61.98
5/6/2019,62.3
5/7/2019,61.41
5/8/2019,62.13
5/9/2019,61.58
5/10/2019,61.65
5/13/2019,60.97
5/14/2019,61.82
5/15/2019,62.03
5/16/2019,62.93
5/17/2019,62.77
5/20/2019,63.12
5/21/2019,63.02
5/22/2019,61.42
5/23/2019,57.65
5/24/2019,58.4
5/28/2019,58.91
5/29/2019,58.84
5/30/2019,56.47
5/31/2019,53.49
6/3/2019,53.25
6/4/2019,53.5
6/5/2019,51.57
6/6/2019,52.59
6/7/2019,53.95
6/10/2019,53.33
6/11/2019,53.3
6/12/2019,51.13
6/13/2019,52.38
6/14/2019,52.47
6/17/2019,51.94
6/18/2019,53.86
6/19/2019,53.74
6/20/2019,56.88
6/21/2019,57.35
6/24/2019,57.73
6/25/2019,57.63
6/26/2019,59.17
6/27/2019,59.18
6/28/2019,58.2
7/1/2019,58.91
7/2/2019,56
7/3/2019,57.06
7/4/2019,
7/5/2019,
7/8/2019,57.35
7/9/2019,57.57
7/10/2019,60.28
7/11/2019,59.93
7/12/2019,59.99
7/15/2019,59.3
7/16/2019,57.44
7/17/2019,56.5
7/18/2019,55.08
7/19/2019,55.42
7/22/2019,55.87
7/23/2019,56.58
7/24/2019,55.9
7/25/2019,55.88
7/26/2019,56.04
7/29/2019,56.85
7/30/2019,58.04
7/31/2019,58.53
8/1/2019,53.64
8/2/2019,55.67
8/5/2019,54.63
8/6/2019,53.6
8/7/2019,51.14
8/8/2019,52.6
8/9/2019,54.41
8/12/2019,54.98
8/13/2019,57.05
8/14/2019,55.16
8/15/2019,54.51
8/16/2019,54.83
8/19/2019,56.24
8/20/2019,56.18
8/21/2019,55.65
8/22/2019,55.33
8/23/2019,54.08
8/26/2019,53.54
8/27/2019,54.99
8/28/2019,55.76
8/29/2019,56.67
8/30/2019,55.07
9/2/2019,
9/3/2019,53.91
9/4/2019,56.22
9/5/2019,56.33
9/6/2019,56.45
9/9/2019,57.88
9/10/2019,57.37
9/11/2019,55.66
9/12/2019,55.13
9/13/2019,54.76
9/16/2019,63.1
9/17/2019,59.26
9/18/2019,58.19
9/19/2019,58.19
9/20/2019,57.92
9/23/2019,58.69
9/24/2019,57.22
9/25/2019,56.38
9/26/2019,56.24
9/27/2019,55.95
9/30/2019,54.09
10/1/2019,53.6
10/2/2019,52.67
10/3/2019,52.41
10/4/2019,52.84
10/7/2019,52.76
10/8/2019,52.64
10/9/2019,52.63
10/10/2019,53.57
10/11/2019,54.76
10/14/2019,53.57
10/15/2019,52.81
10/16/2019,53.42
10/17/2019,53.89
10/18/2019,53.75
10/21/2019,53.28
10/22/2019,54.21
10/23/2019,55.9
10/24/2019,56.11
10/25/2019,56.52
10/28/2019,55.6
10/29/2019,55.34
10/30/2019,54.85
10/31/2019,54.02
11/1/2019,56.04
11/4/2019,56.33
11/5/2019,57.04
11/6/2019,56.15
11/7/2019,56.91
11/8/2019,57.02
11/11/2019,
11/12/2019,56.67
11/13/2019,56.88
11/14/2019,56.57
11/15/2019,57.54
11/18/2019,56.82
11/19/2019,54.93
11/20/2019,56.71
11/21/2019,58.36
11/22/2019,57.68
11/25/2019,57.79
11/26/2019,58.25
11/27/2019,58.12
11/28/2019,
11/29/2019,58.12
12/2/2019,55.97
12/3/2019,56.15
12/4/2019,58.46
12/5/2019,58.42
12/6/2019,59.2
12/9/2019,58.99
12/10/2019,59.22
12/11/2019,58.74
12/12/2019,59.18
12/13/2019,60.11
12/16/2019,60.21
12/17/2019,60.88
12/18/2019,60.93
12/19/2019,61.3
12/20/2019,60.43
12/23/2019,60.51
12/24/2019,61.17
12/26/2019,61.72
12/27/2019,61.76
12/30/2019,61.66
12/31/2019,61.14
1/2/2020,61.17
1/3/2020,63
1/6/2020,63.27
1/7/2020,62.7
1/8/2020,59.65
1/9/2020,59.56
1/10/2020,59.02
1/13/2020,58.17
1/14/2020,58.34
1/15/2020,57.86
1/16/2020,58.52
1/17/2020,58.55
1/20/2020,
1/21/2020,58.25
1/22/2020,56.76
1/23/2020,55.51
1/24/2020,54.09
1/27/2020,53.09
1/28/2020,53.33
1/29/2020,53.29
1/30/2020,52.19
1/31/2020,51.58
2/3/2020,50.06
2/4/2020,49.59
2/5/2020,50.87
2/6/2020,50.94
2/7/2020,50.34
2/10/2020,49.59
2/11/2020,50
2/12/2020,51.13
2/13/2020,51.41
2/14/2020,52.03
2/17/2020,
2/18/2020,52.1
2/19/2020,53.31
2/20/2020,53.77
2/21/2020,53.36
2/24/2020,51.36
2/25/2020,49.78
2/26/2020,48.67
2/27/2020,47.17
2/28/2020,44.83
3/2/2020,46.78
3/3/2020,47.27
3/4/2020,46.78
3/5/2020,45.9
3/6/2020,41.14
3/9/2020,31.05
3/10/2020,34.47
3/11/2020,33.13
3/12/2020,31.56
3/13/2020,31.72
3/16/2020,28.96
3/17/2020,26.96
3/18/2020,20.48
3/19/2020,25.09
3/20/2020,19.48
3/23/2020,23.33
3/24/2020,21.03
3/25/2020,20.75
3/26/2020,16.6
3/27/2020,15.48
3/30/2020,14.1
3/31/2020,20.51
4/1/2020,20.28
4/2/2020,25.18
4/3/2020,28.36
4/6/2020,26.21
4/7/2020,23.54
4/8/2020,24.97
4/9/2020,22.9
4/13/2020,22.36
4/14/2020,20.15
4/15/2020,19.96
4/16/2020,19.82
4/17/2020,18.31
4/20/2020,-36.98
4/21/2020,8.91
4/22/2020,13.64
4/23/2020,15.06
4/24/2020,15.99
4/27/2020,12.17
4/28/2020,12.4
4/29/2020,15.04
4/30/2020,19.23
5/1/2020,19.72
5/4/2020,20.47
5/5/2020,24.56
5/6/2020,23.88
5/7/2020,23.68
5/8/2020,24.73
5/11/2020,24.02
5/12/2020,25.76
5/13/2020,25.37
5/14/2020,27.4
5/15/2020,29.44
5/18/2020,31.83
5/19/2020,32.3
5/20/2020,33.56
5/21/2020,34.3
5/22/2020,33.49
5/26/2020,34.7
5/27/2020,32.8
5/28/2020,33.67
5/29/2020,35.57
6/1/2020,35.49
6/2/2020,36.88
6/3/2020,37.33
6/4/2020,37.42
6/5/2020,39.49
6/8/2020,38.17
6/9/2020,38.98
6/10/2020,39.54
6/11/2020,36.43
6/12/2020,36.24
6/15/2020,37.07
6/16/2020,38.26
6/17/2020,37.91
6/18/2020,38.79
6/19/2020,39.72
6/22/2020,40.6
6/23/2020,40.4
6/24/2020,37.91
6/25/2020,38.66
6/26/2020,38.53
6/29/2020,39.67
6/30/2020,39.27
7/1/2020,39.88
7/2/2020,40.57
7/3/2020,
7/6/2020,40.51
7/7/2020,40.59
7/8/2020,40.91
7/9/2020,39.64
7/10/2020,40.56
7/13/2020,40.06
7/14/2020,40.3
7/15/2020,41.2
7/16/2020,40.74
7/17/2020,40.55
7/20/2020,40.83
7/21/2020,41.76
7/22/2020,41.88
7/23/2020,40.99
7/24/2020,41.23
7/27/2020,41.46
7/28/2020,40.89
7/29/2020,41.13
7/30/2020,39.85
7/31/2020,40.1
8/3/2020,40.83
8/4/2020,41.67
8/5/2020,42.25
8/6/2020,41.93
8/7/2020,41.16
8/10/2020,41.94
8/11/2020,41.53
8/12/2020,42.6
8/13/2020,42.26
8/14/2020,42.05
8/17/2020,42.89
8/18/2020,42.89
8/19/2020,42.91
8/20/2020,42.62
8/21/2020,42.32
8/24/2020,42.44
8/25/2020,43.17
8/26/2020,43.21
8/27/2020,42.88
8/28/2020,42.96
8/31/2020,42.61
9/1/2020,42.76
9/2/2020,42.76
9/3/2020,41.39
9/4/2020,39.69
9/7/2020,
9/8/2020,36.87
9/9/2020,38.05
9/10/2020,37.25
9/11/2020,37.33
9/14/2020,37.23
9/15/2020,38.29
9/16/2020,40.17
9/17/2020,40.99
9/18/2020,41.09
9/21/2020,39.26
9/22/2020,39.55
9/23/2020,39.92
9/24/2020,40.11
9/25/2020,40.06
9/28/2020,40.47
9/29/2020,39.03
9/30/2020,40.05
10/1/2020,38.51
10/2/2020,36.9
10/5/2020,39.12
10/6/2020,40.52
10/7/2020,39.82
10/8/2020,41.04
10/9/2020,40.44
10/12/2020,39.22
10/13/2020,40.03
10/14/2020,40.86
10/15/2020,40.84
10/16/2020,40.7
10/19/2020,40.69
10/20/2020,41.37
10/21/2020,39.88
10/22/2020,40.46
10/23/2020,39.73
10/26/2020,38.39
10/27/2020,39.34
10/28/2020,37.27
10/29/2020,35.94
10/30/2020,35.64
11/2/2020,36.6
11/3/2020,37.44
11/4/2020,38.97
11/5/2020,38.56
11/6/2020,36.97
11/9/2020,40.05
11/10/2020,41.18
11/11/2020,41.23
11/12/2020,40.9
11/13/2020,39.93
11/16/2020,41.14
11/17/2020,41.24
11/18/2020,41.64
